idCampania,nombreCampania,fecha,tipoCampania,ubicacion,rut,nombreDonante,tipoSangre,donacion
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,18.442.109-3,Matia Silva,A_NEGATIVO,400
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,21.010.213-2,Benjamin Concha,A_POSITIVO,500
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,17.432.190-1,Javier Fuentes,O_POSITIVO,450
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,18.721.554-7,Fernanda Sepulveda,O_POSITIVO,500
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,22.341.002-5,Valentina Castro,AB_POSITIVO,400
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,19.823.411-K,Sofia Morales,O_POSITIVO,450
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,20.155.932-1,Camila Rojas,B_POSITIVO,500
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,17.910.334-8,Cristobal Araya,O_NEGATIVO,450
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,21.936.307-9,Nicolas Castellano,A_NEGATIVO,3000
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,20.892.110-9,Diego Godoy,B_NEGATIVO,400
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,20,cani,A_POSITIVO,0
12,Campania Gomez Carreno,2026-09-11,Movil,Gomez Carreno|Plaza Vina|viña del mar,19.102.883-4,Nicolas Munoz,A_POSITIVO,450
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,21.010.213-2,Benjamin Concha,A_POSITIVO,450
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,15.892.443-2,Roberto Gomez,O_POSITIVO,450
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,16.543.210-8,Gonzalo Tapia,A_POSITIVO,400
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,19.823.411-K,Sofia Morales,O_POSITIVO,500
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,18.223.901-4,Paula Navarrete,AB_NEGATIVO,500
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,18.990.213-0,Ignacio Parra,A_POSITIVO,400
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,20.155.932-1,Camila Rojas,B_POSITIVO,450
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,20.892.110-9,Diego Godoy,B_NEGATIVO,450
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,19.102.883-4,Nicolas Munoz,A_POSITIVO,400
25,Hospital Fricke Fijo,2026-08-20,Fija,Hospital Gustavo Fricke,22.119.832-7,Isadora Olivares,O_NEGATIVO,500
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,18.442.109-3,Matia Silva,A_NEGATIVO,450
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,21.010.213-2,Benjamin Concha,A_POSITIVO,500
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,17.432.190-1,Javier Fuentes,O_POSITIVO,500
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,18.721.554-7,Fernanda Sepulveda,O_POSITIVO,400
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,22.341.002-5,Valentina Castro,AB_POSITIVO,450
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,16.543.210-8,Gonzalo Tapia,A_POSITIVO,450
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,19.823.411-K,Sofia Morales,O_POSITIVO,400
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,17.910.334-8,Cristobal Araya,O_NEGATIVO,400
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,19.554.321-9,Esteban Soto,O_POSITIVO,500
30,Ruta Universitaria PUCV,2026-08-25,Movil,Sede Curauma|Casa Central|Sede Sausalito,20.432.119-6,Daniela Molina,B_POSITIVO,450
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,15.892.443-2,Roberto Gomez,O_POSITIVO,450
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,18.223.901-4,Paula Navarrete,AB_NEGATIVO,450
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,18.990.213-0,Ignacio Parra,A_POSITIVO,450
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,20.155.932-1,Camila Rojas,B_POSITIVO,500
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,17.910.334-8,Cristobal Araya,O_NEGATIVO,400
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,20.892.110-9,Diego Godoy,B_NEGATIVO,500
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,22.119.832-7,Isadora Olivares,O_NEGATIVO,400
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,19.554.321-9,Esteban Soto,O_POSITIVO,450
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,20.432.119-6,Daniela Molina,B_POSITIVO,500
42,Centro Donacion Quilpue,2026-09-01,Fija,Consultorio Central Quilpue,19.102.883-4,Nicolas Munoz,A_POSITIVO,400
55,Colecta Movil Concón,2026-09-05,Movil,Plaza Becquer|Playa Amarilla,18.442.109-3,Matia Silva,A_NEGATIVO,500
55,Colecta Movil Concón,2026-09-05,Movil,Plaza Becquer|Playa Amarilla,21.010.213-2,Benjamin Concha,A_POSITIVO,400
55,Colecta Movil Concón,2026-09-05,Movil,Plaza Becquer|Playa Amarilla,17.432.190-1,Javier Fuentes,O_POSITIVO,450
55,Colecta Movil Concón,2026-09-05,Movil,Plaza Becquer|Playa Amarilla,18.721.554-7,Fernanda Sepulveda,O_POSITIVO,400
